Estacao;Data;Hora;PrecipitacaoTotal;
83781;30/06/2000;0000;12.2;
83781;31/07/2000;0000;65.6;
83781;31/08/2000;0000;86.3;
83781;30/09/2000;0000;111.1;
83781;31/10/2000;0000;59;
83781;30/11/2000;0000;186;
83781;31/12/2000;0000;249.7;
83781;31/01/2001;0000;144.2;
83781;28/02/2001;0000;290.1;
83781;31/03/2001;0000;138.5;
83781;30/04/2001;0000;32.9;
83781;31/05/2001;0000;86.1;
83781;30/06/2001;0000;24.5;
83781;31/07/2001;0000;41;
83781;31/08/2001;0000;32.8;
83781;30/09/2001;0000;88.5;
83781;31/10/2001;0000;204.3;
83781;30/11/2001;0000;185.2;
83781;31/12/2001;0000;187;
83781;31/01/2002;0000;284.8;
83781;28/02/2002;0000;172.5;
83781;31/03/2002;0000;326.5;
83781;30/04/2002;0000;53.5;
83781;31/05/2002;0000;93;
83781;30/06/2002;0000;1.3;
83781;31/07/2002;0000;22.9;
83781;31/08/2002;0000;46.4;
83781;30/09/2002;0000;54.8;
83781;31/10/2002;0000;124.9;
83781;30/11/2002;0000;226.5;
83781;31/12/2002;0000;235.3;
83781;31/01/2003;0000;317.2;
83781;28/02/2003;0000;109.4;
83781;31/03/2003;0000;126.5;
83781;30/04/2003;0000;45.6;
83781;31/05/2003;0000;33.1;
83781;30/06/2003;0000;16;
83781;31/07/2003;0000;19;
83781;31/08/2003;0000;25.3;
83781;30/09/2003;0000;34.5;
83781;31/10/2003;0000;126.7;
83781;30/11/2003;0000;99.3;
83781;31/12/2003;0000;139.8;
83781;31/01/2004;0000;284.5;
83781;29/02/2004;0000;335.6;
83781;31/03/2004;0000;130.7;
83781;30/04/2004;0000;123.4;
83781;31/05/2004;0000;60.1;
83781;30/06/2004;0000;66.8;
83781;31/07/2004;0000;97.4;
83781;31/08/2004;0000;2.7;
83781;30/09/2004;0000;9.3;
83781;31/10/2004;0000;97.4;
83781;30/11/2004;0000;173.6;
83781;31/12/2004;0000;262.9;
83781;31/01/2005;0000;312.1;
83781;28/02/2005;0000;99.9;
83781;31/03/2005;0000;286.6;
83781;30/04/2005;0000;133.2;
83781;31/05/2005;0000;199;
83781;30/06/2005;0000;30.4;
83781;31/07/2005;0000;13.7;
83781;31/08/2005;0000;9.5;
83781;30/09/2005;0000;138.8;
83781;31/10/2005;0000;172.1;
83781;30/11/2005;0000;106.1;
83781;31/12/2005;0000;228.2;
83781;31/01/2006;0000;348;
83781;28/02/2006;0000;166;
83781;31/03/2006;0000;607.9;
83781;30/04/2006;0000;51.1;
83781;31/05/2006;0000;15;
83781;30/06/2006;0000;24.2;
83781;31/07/2006;0000;71;
83781;31/08/2006;0000;5.8;
83781;30/09/2006;0000;77.7;
83781;31/10/2006;0000;100.4;
83781;30/11/2006;0000;230.7;
83781;31/12/2006;0000;311.5;
83781;31/01/2007;0000;213.5;
83781;28/02/2007;0000;285.9;
83781;31/03/2007;0000;185.4;
83781;30/04/2007;0000;124.8;
83781;31/05/2007;0000;59;
83781;30/06/2007;0000;30.7;
83781;31/07/2007;0000;148.3;
83781;31/08/2007;0000;0;
83781;30/09/2007;0000;15.7;
83781;31/10/2007;0000;109.3;
83781;30/11/2007;0000;219.9;
83781;31/12/2007;0000;230.9;
83781;31/01/2008;0000;318.5;
83781;29/02/2008;0000;236.3;
83781;31/03/2008;0000;180.8;
83781;30/04/2008;0000;96.6;
83781;31/05/2008;0000;80.3;
83781;30/06/2008;0000;78.2;
83781;31/07/2008;0000;0;
83781;31/08/2008;0000;78.5;
83781;30/09/2008;0000;43.9;
83781;31/10/2008;0000;161.4;
83781;30/11/2008;0000;165.1;
83781;31/12/2008;0000;220.2;
83781;31/01/2009;0000;351.8;
83781;28/02/2009;0000;200.2;
83781;31/03/2009;0000;125.7;
83781;30/04/2009;0000;69.6;
83781;31/05/2009;0000;50;
83781;30/06/2009;0000;49.8;
83781;31/07/2009;0000;179.7;
83781;31/08/2009;0000;102.8;
83781;30/09/2009;0000;192.2;
83781;31/10/2009;0000;154.5;
83781;30/11/2009;0000;177.3;
83781;31/12/2009;0000;363.7;
83781;31/01/2010;0000;480.5;
83781;28/02/2010;0000;296.5;
83781;31/03/2010;0000;184.5;
83781;30/04/2010;0000;124.5;
83781;31/05/2010;0000;65.2;
83781;30/06/2010;0000;13.1;
83781;31/07/2010;0000;93.5;
83781;31/08/2010;0000;0.4;
83781;30/09/2010;0000;104.8;
83781;31/10/2010;0000;70.1;
83781;30/11/2010;0000;109.6;
83781;31/12/2010;0000;343.1;
83781;31/01/2011;0000;493.7;
83781;28/02/2011;0000;311.5;
83781;31/03/2011;0000;164;
83781;30/04/2011;0000;133;
83781;31/05/2011;0000;30.4;
83781;30/06/2011;0000;81.6;
83781;31/07/2011;0000;4.5;
83781;31/08/2011;0000;46.3;
83781;30/09/2011;0000;7.4;
83781;31/10/2011;0000;149.6;
83781;30/11/2011;0000;141.3;
83781;31/12/2011;0000;136.8;
83781;31/01/2012;0000;332.6;
83781;29/02/2012;0000;224.2;
83781;31/03/2012;0000;187.6;
83781;30/04/2012;0000;155.9;
83781;31/05/2012;0000;82.7;
83781;30/06/2012;0000;233.7;
83781;31/07/2012;0000;74.7;
83781;31/08/2012;0000;0.3;
83781;30/09/2012;0000;19.2;
83781;31/10/2012;0000;128.3;
83781;30/11/2012;0000;91.6;
83781;31/12/2012;0000;401.9;
83781;31/01/2013;0000;169.2;
83781;28/02/2013;0000;278;
83781;31/03/2013;0000;174.5;
83781;30/04/2013;0000;70.7;
83781;31/05/2013;0000;42.5;
83781;30/06/2013;0000;143.2;
83781;31/07/2013;0000;90.9;
83781;31/08/2013;0000;7.7;
83781;30/09/2013;0000;81.3;
83781;31/10/2013;0000;126.6;
83781;30/11/2013;0000;123.6;
83781;31/12/2013;0000;83.1;
83781;31/01/2014;0000;237.9;
83781;28/02/2014;0000;197.6;
83781;31/03/2014;0000;226.9;
83781;30/04/2014;0000;79.7;
83781;31/05/2014;0000;46;
83781;30/06/2014;0000;9.7;
83781;31/07/2014;0000;21.4;
83781;31/08/2014;0000;29.6;
83781;30/09/2014;0000;58.7;
83781;31/10/2014;0000;25.2;
83781;30/11/2014;0000;117.5;
83781;31/12/2014;0000;203.1;
83781;31/01/2015;0000;156.2;
83781;28/02/2015;0000;273;
83781;31/03/2015;0000;332.7;
83781;30/04/2015;0000;108.1;
83781;31/05/2015;0000;50.7;
83781;30/06/2015;0000;20.3;
83781;31/07/2015;0000;65.1;
83781;31/08/2015;0000;31.6;
83781;30/09/2015;0000;201.7;
83781;31/10/2015;0000;92.1;
83781;30/11/2015;0000;247.2;
83781;31/12/2015;0000;318.1;
83781;31/01/2016;0000;175.9;
83781;29/02/2016;0000;275.1;
83781;31/03/2016;0000;256.6;
83781;30/04/2016;0000;2.4;
83781;31/05/2016;0000;105.7;
83781;30/06/2016;0000;206.8;
83781;31/07/2016;0000;6.4;
83781;31/08/2016;0000;82.4;
83781;30/09/2016;0000;22.2;
83781;31/10/2016;0000;104.1;
83781;30/11/2016;0000;166.8;
83781;31/12/2016;0000;165.4;
83781;31/01/2017;0000;454;
83781;28/02/2017;0000;127.3;
83781;31/03/2017;0000;160.4;
83781;30/04/2017;0000;143.1;
83781;31/05/2017;0000;153.4;
83781;30/06/2017;0000;102.9;
83781;31/07/2017;0000;0.8;
83781;31/08/2017;0000;60.5;
83781;30/09/2017;0000;11.1;
83781;31/10/2017;0000;149.4;
83781;30/11/2017;0000;159.8;
83781;31/12/2017;0000;151.3;

